year,field1,field2,title1,title2,title3,title4,remark
73年,4368,3862,10,19,107,1235,分局別：板橋、新莊、三重、中和、永和、新店、三峽、瑞芳、汐止、淡水。
74年,4414,4063,10,19,110,1264,消防隊編制307人、戶政編制619人；分局配置警力數2572人；增設光華、三多、八連派出所。
75年,4414,4146,10,19,110,,
76年,4414,4213,11,18,111,1277,76.01.19增設樹林分局；增設樹林派出所。
77年,4954,4443,11,18,111,1330,直屬隊編制1550人、戶政編制755人；30個戶政事務所，分局配置警力2649人。
78年,6759,4751,12,17,113,1350,擴編基層警力1641人及安檢164人；78.03.10增設蘆洲分局；增設三民、蘆洲派出所。
79年,6759,4579,13,16,115,1417,預算員額5118人，46個漁港駐在所； 79.06.01增設金山分局；增設金山、國光派出所。
80年,7087,5352,13,16,117,1491,31個戶政事務所編制849人；41個漁港駐在所、2個檢查哨；增設五工勤務組（90.12.27改設五工派出所）、鳳鳴派出所、鳳鳴派出所。
81年,7087,5386,13,16,120,1607,81.07.01戶警分立 增設廣福、海山、新海派出所
82年,6580,5899,14,16,120,2224,40個漁港駐在所；保警支援數950人；82.03.01增設海山分局。
83年,6580,6033,15,15,123,2228,83.10.15增設土城分局；增設土城、得和、安平派出所。
84年,6580,6177,15,15,123,2252,
85年,6580,6288,15,15,123,2258,40個漁港派出、駐在所，編制510人、預算缺額259人；另保警支援數638人。
86年,6580,6238,15,15,123,2265,保警支援警力數962人。
87年,6040,5616,15,15,126,2266,預算員額5822人；87.07.01警消分立 ；安檢預算缺額218人；增設文化、延平、永福派出所。
88年,7766,5619,15,15,129,2266,預算員額5822人；保警支援數695人；34個漁港派出、駐在所，其中5所已簡併； 增設錦和、丹鳳派出所。
89年,7766,5685,15,15,129,2288,預算員額5822人；保警支援數958人； 89.02.16安檢移撥，撤減29所及200人。
90年,7766,6531,15,15,129,2922,預算員額6750人；保警支援數175人； 90.01.01保警移撥預算員額710人。
91年,7766,6708,15,15,129,2922,預算員額7229人；保警支援數83人；91.01.01保警移撥預算員額479人。
92年,7766,6969,15,15,130,2922,預算員額7501人；92.01.01保警移撥預算員額272人；增設大有派出所。
93年,7766,6832,15,15,131,2612,預算員額7501人； 增設集賢派出所。
94年,7766,6373,15,15,132,2161,預算員額7501人；94.01.0保警移撥調入149人；增設德音派出所。
95年,7766,7018,15,15,134,2573,預算員額7501人。
96年,7766,6903,15,15,134,2747,預算員額7766人。
97年,7766,7382,15,15,135,3235,預算員額7766人；97年12月1日完成機關改制及人員派補正式運作。
98年,10763,7571,16,15,139,3235,預算員額7836人；增設中原、景安、安和及二橋派出所。
99年,11068,7624,16,15,141,3235,預算員額7897人；增設金城及重陽派出所；99年12月25日改制為新北市政府警察局。
100年,11068,7559,16,15,142,3235,預算員額7897人；增設彭厝派出所。
101年,11068,7551,16,15,142,3235,預算員額7897人；增設文聖派出所，裁撤埔濱派出所。
102年,11068,7423,16,15,143,3237,預算員額7897人；增設北大派出所。